date,n_pos,R_t
2021-06-23,261.963133640553,0.9618609024062919
2021-06-24,252.26728110599078,0.9577250507096862
2021-06-25,243.1152073732719,0.9562613951947317
2021-06-26,234.56682027649768,0.9563525277780606
2021-06-27,226.98617511520737,0.9588125532120342
2021-06-28,220.9815668202765,0.9648253902775619
2021-06-29,215.43778801843317,0.9701263625759935
2021-06-30,210.7004608294931,0.976314928289687
2021-07-01,206.24884792626727,0.9818367265440952
2021-07-02,202.036866359447,0.9863941338664206
2021-07-03,198.1152073732719,0.9899880311282665
2021-07-04,194.74193548387098,0.9941465422248625
2021-07-05,191.67281105990784,0.9978497950812601
2021-07-06,188.7926267281106,1.0008561363304547
2021-07-07,185.80645161290323,1.0018432543315503
2021-07-08,183.40552995391704,1.004176116713819
2021-07-09,181.7557603686636,1.0087172048070758
2021-07-10,180.5437788018433,1.014254725858065
2021-07-11,179.5990783410138,1.019407218581326
2021-07-12,179.05529953917053,1.0247243193744626
2021-07-13,178.3364055299539,1.0273190260021563
2021-07-14,177.70506912442397,1.0289587624636203
2021-07-15,177.06912442396313,1.0297180816084397
2021-07-16,176.7511520737327,1.032063823235185
2021-07-17,176.41013824884791,1.0337459069579586
2021-07-18,176.29032258064515,1.0362772696966869
2021-07-19,176.29032258064515,1.038866135595437
2021-07-20,176.30414746543778,1.040745040330468
2021-07-21,176.65898617511522,1.0439000497993847
2021-07-22,177.15668202764977,1.046966167503258
2021-07-23,177.44239631336404,1.047748112382958
2021-07-24,177.91244239631337,1.0488182361895382
2021-07-25,178.74193548387098,1.0514331027853427
2021-07-26,179.94930875576037,1.0553783239865158
2021-07-27,182.18433179723502,1.0634417555479823
2021-07-28,185.20276497695855,1.0731296074556702
2021-07-29,188.72811059907835,1.0818806572998558
2021-07-30,192.97235023041478,1.0905752797471553
2021-07-31,197.46082949308754,1.0968606770870273
2021-08-01,202.05529953917053,1.1006596688753123
2021-08-02,207.24423963133643,1.104466314253128
2021-08-03,212.91244239631337,1.108493838767651
2021-08-04,218.8709677419355,1.1118611608340019
2021-08-05,225.45622119815667,1.1160448175251685
2021-08-06,232.67281105990784,1.1208948324176493
2021-08-07,240.48387096774192,1.126622559495347
2021-08-08,248.7557603686636,1.131985720813086
2021-08-09,258.06451612903226,1.1383608715383324
2021-08-10,267.9308755760369,1.143918188749918
2021-08-11,278.3963133640553,1.1492103547895551
2021-08-12,289.30414746543784,1.1539066634044424
2021-08-13,300.7741935483871,1.1591130733776909
2021-08-14,312.86175115207374,1.1643544445552503
2021-08-15,325.13824884792626,1.1681943871543485
2021-08-16,336.9769585253456,1.1685476765024605
2021-08-17,349.0829493087557,1.1685580991420845
2021-08-18,361.35483870967744,1.1677622476078833
2021-08-19,374.036866359447,1.167033405327346
2021-08-20,387.49308755760364,1.167462715565375
2021-08-21,401.31336405529953,1.1671390240375765
2021-08-22,415.82488479262673,1.1675867620174163
2021-08-23,432.7741935483871,1.1717425214838681
2021-08-24,452.64976958525347,1.178719084978731
2021-08-25,475.61290322580646,1.187328214908987
2021-08-26,501.51612903225805,1.1954079508902384
2021-08-27,529.8064516129032,1.2001373663949426
2021-08-28,559.2350230414746,1.2009147621721314
2021-08-29,589.9124423963134,1.199831516734827
2021-08-30,623.2350230414746,1.1997661472027636
2021-08-31,657.5391705069125,1.1996897402949085
2021-09-01,692.5483870967741,1.199695288844232
2021-09-02,727.5069124423962,1.1979838995864394
2021-09-03,762.52534562212,1.1955621349462149
2021-09-04,797.1382488479262,1.1926191283664849
2021-09-05,831.2027649769586,1.1889736926286782
2021-09-06,864.3640552995391,1.1845692427451127
2021-09-07,896.3364055299539,1.180023409834172
2021-09-08,926.8479262672811,1.1751738358742203
2021-09-09,955.4654377880183,1.1687041198100259
2021-09-10,981.815668202765,1.1614447346447745
2021-09-11,1006.1612903225806,1.154140461917166
2021-09-12,1029.3456221198157,1.1478450820511328
2021-09-13,1050.0460829493088,1.1413967127541356
2021-09-14,1068.26267281106,1.1343493584984303
2021-09-15,1084.147465437788,1.1272167686992849
2021-09-16,1097.857142857143,1.1205807147681361
2021-09-17,1108.9861751152073,1.113303425044815
2021-09-18,1119.036866359447,1.1067068218420255
2021-09-19,1127.115207373272,1.099637804860177
2021-09-20,1132.7972350230414,1.091382148103033
2021-09-21,1136.3271889400921,1.082489238985963
2021-09-22,1138.1336405529953,1.0737129178170735
2021-09-23,1137.1566820276498,1.0630732516588721
2021-09-24,1132.8018433179725,1.050297626583012
2021-09-25,1124.6175115207375,1.0359990854767542
2021-09-26,1112.6589861751152,1.021525034197326
2021-09-27,1096.405529953917,1.0067825511088533
2021-09-28,1077.8433179723502,0.9946427610239538
2021-09-29,1056.774193548387,0.9843146009495739
2021-09-30,1031.3778801843318,0.973067391085595
2021-10-01,1003.9078341013824,0.9631343507613771
2021-10-02,975.0414746543779,0.9551128587889911
2021-10-03,944.9815668202764,0.9485769535132688
2021-10-04,913.9861751152073,0.9432711597948642
2021-10-05,882.4608294930875,0.9388781899213074
2021-10-06,850.5253456221197,0.9352685584616282
2021-10-07,818.6958525345622,0.9327332849040567
2021-10-08,787.5299539170508,0.9314207243027605
2021-10-09,757.1428571428572,0.9309203794734634
2021-10-10,727.6036866359448,0.9313035961146554
2021-10-11,699.5437788018432,0.9325542562007919
2021-10-12,672.8663594470046,0.9344524160635431
2021-10-13,646.5115207373271,0.9353482189412763
2021-10-14,621.9861751152073,0.936712279631625
2021-10-15,599.4331797235023,0.9393432647067882
2021-10-16,579.2442396313365,0.9438866518530683
2021-10-17,561.5069124423964,0.9497733048579191
2021-10-18,546.668202764977,0.9579563368475799
2021-10-19,533.1013824884793,0.9662361879466349
2021-10-20,522.4193548387096,0.9772435518336636
2021-10-21,514.479262672811,0.9896686031256888
2021-10-22,509.36866359447004,1.0030948871438452
2021-10-23,505.95852534562215,1.014891635529591
2021-10-24,503.89861751152074,1.0249395801810344
2021-10-25,504.1981566820276,1.0354159707430346
2021-10-26,507.17511520737327,1.0465979665083587
2021-10-27,512.4285714285714,1.0574176682167076
2021-10-28,521.073732718894,1.069322703674225
2021-10-29,532.110599078341,1.0805017182808634
2021-10-30,544.4562211981568,1.0895228815662805
2021-10-31,558.8617511520738,1.0980248622536466
2021-11-01,577.47465437788,1.1087002755795068
2021-11-02,598.2258064516129,1.1187107641835041
2021-11-03,622.0552995391704,1.1288501861766023
2021-11-04,647.9493087557604,1.1378435137363934
2021-11-05,675.6958525345622,1.1458750613261373
2021-11-06,705.1520737327189,1.1529039822337213
2021-11-07,736.0829493087557,1.158860896801793
2021-11-08,769.1198156682028,1.164519341499043
2021-11-09,804.0,1.1699826626372907
2021-11-10,840.3870967741935,1.1747468403055488
2021-11-11,878.2304147465437,1.1790907544599891
2021-11-12,917.7419354838709,1.183212474494177
2021-11-13,958.6774193548387,1.187685563972692
2021-11-14,1000.4285714285714,1.1918533423036966
2021-11-15,1044.3410138248848,1.1959715763152428
2021-11-16,1089.7972350230416,1.1991702561184525
2021-11-17,1137.3364055299537,1.2022147574671247
2021-11-18,1186.8663594470047,1.2040812966506074
2021-11-19,1237.8202764976959,1.2047595029132536
2021-11-20,1288.594470046083,1.2018400587442408
2021-11-21,1339.4608294930874,1.197065831670116
2021-11-22,1392.0276497695854,1.192051769114114
2021-11-23,1446.8387096774193,1.1887243169151
2021-11-24,1502.8571428571431,1.1858521430632136
2021-11-25,1558.9170506912442,1.181190829610864
2021-11-26,1615.1198156682028,1.1753079913360167
2021-11-27,1671.4101382488477,1.1693265485291453
2021-11-28,1727.6820276497695,1.1631543367659603
2021-11-29,1787.308755760369,1.1588304076541522
2021-11-30,1850.8341013824886,1.1574876793820885
2021-12-01,1918.7327188940092,1.1582484622688136
2021-12-02,1989.4562211981568,1.1576178801076518
2021-12-03,2065.7327188940094,1.1578357615850594
2021-12-04,2143.6082949308757,1.156905422259684
2021-12-05,2224.7004608294933,1.156160501697288
2021-12-06,2312.7327188940094,1.1569437526942266
2021-12-07,2407.442396313364,1.1588911464612999
2021-12-08,2506.603686635945,1.1608820311205394
2021-12-09,2608.990783410138,1.1619851733708306
2021-12-10,2713.926267281106,1.1623582776730152
2021-12-11,2819.6497695852536,1.16188879900643
2021-12-12,2925.5529953917053,1.1608351281216447
2021-12-13,3030.7096774193546,1.1591313010565811
2021-12-14,3133.470046082949,1.1569613645535182
2021-12-15,3234.437788018433,1.1548491087727613
2021-12-16,3330.2672811059906,1.1514310033627286
2021-12-17,3420.018433179723,1.146918206556775
2021-12-18,3505.6912442396315,1.1419485569597525
2021-12-19,3585.9815668202764,1.1364116456407403
2021-12-20,3658.3917050691243,1.1301890165269504
2021-12-21,3724.73732718894,1.1240993811672373
2021-12-22,3783.5990783410134,1.1178766700440024
2021-12-23,3833.3502304147464,1.1106006308150922
2021-12-24,3868.672811059908,1.1010865580371012
2021-12-25,3898.336405529954,1.0921714403911291
2021-12-26,3924.9861751152075,1.0848905305330336
2021-12-27,3946.686635944701,1.0785454165047696
2021-12-28,3965.73732718894,1.0735011640752847
2021-12-29,3984.7327188940094,1.0702014022014426
2021-12-30,4002.2811059907835,1.0674789303523462
2021-12-31,4020.1244239631333,1.0656221989727377
2022-01-01,4035.341013824885,1.0634064968834602
2022-01-02,4051.723502304147,1.0619700208943799
2022-01-03,4080.926267281106,1.0646111337932647
2022-01-04,4124.479262672811,1.0707573948038416
2022-01-05,4176.42396313364,1.0770163805323547
2022-01-06,4229.4838709677415,1.0806002581720546
2022-01-07,4290.903225806452,1.083552748970453
2022-01-08,4355.124423963134,1.0852587825010043
2022-01-09,4419.377880184332,1.0857060999351589
2022-01-10,4493.327188940092,1.08707818951841
2022-01-11,4578.410138248847,1.0897273576843214
2022-01-12,4680.8986175115215,1.0942565158646471
2022-01-13,4804.082949308756,1.1004215223500953
2022-01-14,4951.649769585254,1.1081168180217724
2022-01-15,5115.801843317973,1.1155147057191093
2022-01-16,5298.889400921659,1.1227684833711278
2022-01-17,5526.276497695852,1.132787716899243
2022-01-18,5790.7188940092165,1.1437339449222328
2022-01-19,6090.299539170507,1.1546790862826288
2022-01-20,6429.861751152074,1.1659982214169609
2022-01-21,6807.373271889402,1.1771561028247024
2022-01-22,7211.870967741936,1.1873804460210695
2022-01-23,7641.852534562212,1.1967540518972781
2022-01-24,8117.990783410138,1.208027451488929
2022-01-25,8620.73271889401,1.2182654703912037
2022-01-26,9142.3732718894,1.2263387742521057
2022-01-27,9674.99539170507,1.232492252272449
2022-01-28,10210.387096774193,1.2365121427023742
2022-01-29,10736.69124423963,1.2376313492180173
2022-01-30,11253.036866359447,1.2361621527053182
2022-01-31,11762.235023041476,1.2329416859069509
2022-02-01,12268.276497695852,1.2295857648212671
2022-02-02,12758.889400921658,1.2245763031410666
